fitness_score,loc,lloc,sloc,comment,multi,blank,avg_cyclomatic_complexity,maintainability_index,halstead_h1,halstead_h2,halstead_N1,halstead_N2,halstead_vocabulary,halstead_length,halstead_volume,halstead_difficulty,halstead_effort,halstead_time,halstead_bugs
100.0,48,30,29,7,4,11,10.0,77.62241538492702,7,25,16,34,32,50,250.0,4.76,1190.0,66.11111111111111,0.08333333333333333
100.0,54,35,32,8,6,13,7.0,82.70116781550841,4,7,4,8,11,12,41.51317942364757,2.2857142857142856,94.88726725405158,5.27151484744731,0.01383772647454919
100.0,65,44,42,11,0,14,8.0,73.42913961531005,6,16,10,20,22,30,133.78294855911892,3.75,501.68605709669595,27.87144761648311,0.044594316186372975
100.0,66,44,41,11,0,16,9.0,73.81474885988021,5,13,10,20,18,30,125.09775004326937,3.8461538461538463,481.145192474113,26.730288470784057,0.04169925001442312
100.0,63,36,37,11,4,14,10.0,77.46410947285005,6,15,13,25,21,38,166.9080620655929,5.0,834.5403103279646,46.36335057377581,0.05563602068853097
100.0,46,31,28,6,4,9,6.0,82.96826728710975,4,7,4,8,11,12,41.51317942364757,2.2857142857142856,94.88726725405158,5.27151484744731,0.01383772647454919
100.0,47,29,28,7,4,11,10.0,78.12823598431018,7,25,16,34,32,50,250.0,4.76,1190.0,66.11111111111111,0.08333333333333333
100.0,40,26,26,5,0,9,9.0,74.92578065371427,7,19,13,27,26,40,188.0175887256437,4.973684210526316,935.1401123459647,51.9522284636647,0.06267252957521456
100.0,68,43,44,12,0,13,11.0,72.15413274220397,7,19,15,30,26,45,211.51978731634918,5.526315789473684,1168.925140432456,64.94028557958089,0.07050659577211639
100.0,79,49,48,17,4,16,7.0,75.66517749380685,6,16,11,22,22,33,147.1612434150308,4.125,607.0401290870021,33.72445161594456,0.04905374780501027
100.0,54,37,35,8,0,10,9.0,73.28035410528115,5,18,12,24,23,36,162.84823041805248,3.3333333333333335,542.8274347268416,30.157079707046755,0.05428274347268416
