fitness_score,loc,lloc,sloc,comment,multi,blank,avg_cyclomatic_complexity,maintainability_index,halstead_h1,halstead_h2,halstead_N1,halstead_N2,halstead_vocabulary,halstead_length,halstead_volume,halstead_difficulty,halstead_effort,halstead_time,halstead_bugs
1.2878163217446816,46,27,24,7,6,10,6,84.24494061767678,6,9,6,12,15,18,70.32403072095333,4,281.2961228838133,15.627562382434073,0.023441344
1.6620498614958448,60,40,39,13,0,12,8,75.35432549729526,6,19,12,24,25,36,167.17882283189007,3.789473684210526,633.5197496787413,35.19554164881896,0.055726274
1.2703799455618296,43,25,25,10,0,9,0,83.94807300947052,6,10,6,12,16,18,72,3.6,259.2,14.399999999999999,0.024
1.4084507042253522,55,41,38,5,0,11,9,69.06683075,5,11,9,18,16,27,108,4.090909090909091,441.8181818181818,24.545454545454547,0.036
1.3070522118722538,55,36,33,11,2,12,5,77.44939737000648,6,23,12,24,29,36,174.88731582459263,3.130434782608696,547.4733365,30.415185360798723,0.058295772
1.477832512315271,33,22,19,1,4,10,9,80.33279442034517,5,18,9,19,23,28,126.65973476959637,2.638888888888889,334.24096675310153,18.56894259739453,0.042219911589865454
1.477832512315271,33,24,23,3,0,7,1,75.8490863,6,12,6,12,18,18,75.05865002596161,3,225.17595007788483,12.509775004326935,0.02501955
1.3921113689095128,34,26,25,0,3,6,6,74.82937011269836,4,9,6,11,13,17,62.907475208398566,2.4444444444444446,153.7738282871965,8.542990460399805,0.020969158
1.4423076923076923,53,35,32,6,4,12,4,78.62416832000538,5,12,7,14,17,21,85.83671966625714,2.9166666666666665,250.3570990265833,13.908727723699073,0.02861224
1.477832512315271,40,22,19,9,0,11,4,90.77600561046096,2,4,2,4,6,6,15.509775004326936,1,15.509775004326936,0.861654167,0.005169925
1.3761467889908259,46,29,28,5,4,11,9,81.01031747,4,10,6,12,14,18,68.53238859703687,2.4,164.4777326328885,9.137651813,0.022844129532345624
1.4492753623188408,70,43,42,10,4,15,9,74.91025993524994,5,14,13,25,19,38,161.42124551085624,4.464285714285714,720.6305603163225,40.03503112868459,0.053807082
1.5415454534289303,37,25,23,8,0,9,0,80.02690302364948,8,19,13,26,27,39,185.4406125843753,5.473684210526316,1015.0433530934226,56.39129739407903,0.061813537528125094
1.2875536480686693,41,29,29,3,0,11,7,72.30035691842896,5,10,6,12,15,18,70.32403072095333,3,210.9720922,11.720671786825555,0.023441344
1.2127302046132498,55,37,35,11,0,12,8,74.99405523355499,7,23,15,30,30,45,220.81007680238335,4.565217391304348,1008.0460027934892,56.00255571,0.073603359
1.6393442622950818,43,32,29,3,0,10,11,67.78036990680681,6,18,13,27,24,40,183.39850002884629,4.5,825.2932501298083,45.84962500721157,0.061132833342948764
1.528282171821004,43,31,28,4,4,9,11,75.86420194,6,20,15,30,26,45,211.51978731634918,4.5,951.8390429235714,52.879946829087295,0.070506596
1.4251781472684086,46,31,28,6,4,10,6,81.44385989903866,5,9,6,12,14,18,68.53238859703687,3.3333333333333335,228.44129532345625,12.691183073525346,0.022844129532345624
0.8632756409686527,40,26,23,6,3,11,6,82.93129087857506,5,12,7,14,17,21,85.83671966625714,2.9166666666666665,250.3570990265833,13.908727723699073,0.02861224
1.3752757551694124,46,30,28,11,0,11,4,83.19056462892502,4,9,5,10,13,15,55.506595772116384,2.2222222222222223,123.34799060470309,6.852666144705727,0.018502199
1.859504132231405,33,26,24,2,0,8,0,72.07186418661426,5,9,6,12,14,18,68.53238859703687,3.3333333333333335,228.44129532345625,12.691183073525346,0.022844129532345624
0.8276993394418133,45,29,26,5,4,10,6,80.73591485688416,4,14,8,16,18,24,100.07820003461549,2.2857142857142856,228.75017150769253,12.708342861538474,0.0333594
1.4778325123152707,38,29,26,0,4,8,5,78.63743056807975,3,5,3,6,8,9,27,1.8,48.6,2.7,0.009
1.2034027133326317,50,26,29,6,4,11,9,80.87625683436829,7,13,9,18,20,27,116.69205856195879,4.846153846153846,565.5076684156464,31.417092689758135,0.038897353
1.3157894736842106,57,38,37,5,4,12,8,75.59949114506075,3,12,8,16,15,24,93.76537429460444,2,187.53074858920888,10.418374921622716,0.031255125
1.9580552571493157,54,33,34,6,4,11,9,77.01856661151201,7,18,10,20,25,30,139.31568569324173,3.888888888888889,541.7832221403845,30.099067896688027,0.046438562
1.859504132231405,33,26,24,2,0,8,0,72.07186418661426,5,9,6,12,14,18,68.53238859703687,3.3333333333333335,228.44129532345625,12.691183073525346,0.022844129532345624
1.6853932584269662,53,40,38,7,0,11,0,71.10776033002935,5,17,12,24,22,36,160.5395382709427,3.5294117647058822,566.6101350739154,31.478340837439745,0.053513179
1.6620498614958448,60,40,39,13,0,12,8,75.35432549729526,6,19,12,24,25,36,167.17882283189007,3.789473684210526,633.5197496787413,35.19554164881896,0.055726274
1.6620498614958448,66,45,47,10,0,14,12,69.82242390674956,6,23,15,30,29,45,218.60914478074076,3.9130434782608696,855.4270882724638,47.52372712624799,0.072869715
1.6393442622950818,43,32,29,3,0,10,11,67.78036990680681,6,18,13,27,24,40,183.39850002884629,4.5,825.2932501298083,45.84962500721157,0.061132833342948764
1.5415454534289303,37,25,23,8,0,9,0,80.02690302364948,8,19,13,26,27,39,185.4406125843753,5.473684210526316,1015.0433530934226,56.39129739407903,0.061813537528125094
1.5318364387207417,44,30,28,9,0,11,0,76.17303606831086,10,25,18,36,35,54,276.9812829150282,7.2,1994.265236988203,110.79251316601128,0.092327094
1.528282171821004,43,31,28,4,4,9,11,75.86420194,6,20,15,30,26,45,211.51978731634918,4.5,951.8390429235714,52.879946829087295,0.070506596
1.5104433885374806,44,30,28,10,0,9,0,77.87044857,9,23,15,30,32,45,225,5.869565217391305,1320.6521739130435,73.36956521739131,0.075
1.477832512315271,33,22,19,1,4,10,9,80.33279442034517,5,18,9,19,23,28,126.65973476959637,2.638888888888889,334.24096675310153,18.56894259739453,0.042219911589865454
1.477832512315271,33,24,23,3,0,7,1,75.8490863,6,12,6,12,18,18,75.05865002596161,3,225.17595007788483,12.509775004326935,0.02501955
1.477832512315271,40,22,19,9,0,11,4,90.77600561046096,2,4,2,4,6,6,15.509775004326936,1,15.509775004326936,0.861654167,0.005169925
1.477832512315271,72,44,41,13,4,15,4,74.17129376040626,9,30,20,39,39,59,311.8387309128727,5.85,1824.256575840305,101.34758754668361,0.10394624363762422
1.477832512315271,40,25,22,6,4,11,11,80.74125407,7,24,13,27,31,40,198.16785241547504,3.9375,780.2859188859329,43.34921771588516,0.066055951
1.477832512315271,67,52,49,10,0,11,5,66.20448883,6,39,26,52,45,78,428.36454151371464,4,1713.4581660548586,95.19212033638104,0.14278818050457154
1.4778325123152707,38,29,26,0,4,8,5,78.63743056807975,3,5,3,6,8,9,27,1.8,48.6,2.7,0.009
1.4778325123152707,50,39,36,5,4,8,7,77.49960392503637,3,8,5,10,11,15,51.89147427955947,1.875,97.29651427,5.405361904120777,0.017297158
1.4729151320137326,49,31,29,12,0,12,9,79.0231602,7,18,12,25,25,37,171.8226790216648,4.861111111111111,835.2491341330928,46.40272967406071,0.057274226340554936
1.4598540145985404,47,32,29,8,4,10,5,81.50825062696303,4,11,7,14,15,21,82.04470251,2.5454545454545454,208.84106092889172,11.602281162716206,0.027348234
1.4589012121258411,62,41,37,12,0,16,5.5,71.71882824790511,10,42,27,54,52,81,461.7356171694285,6.428571428571429,2968.3003960891833,164.90557756051018,0.1539118723898095
1.4500177580970244,68,42,39,11,4,17,12,73.48465364639905,8,26,21,42,34,63,320.51015899877143,6.461538461538462,2070.9887196843692,115.05492887135385,0.10683671966625714
1.4492753623188408,70,43,42,10,4,15,9,74.91025993524994,5,14,13,25,19,38,161.42124551085624,4.464285714285714,720.6305603163225,40.03503112868459,0.053807082
1.4492753623188408,73,45,44,10,4,16,12,73.13462349,6,17,15,29,23,44,199.03672606650858,5.117647058823529,1018.599715752132,56.58887309734067,0.066345575
1.4423076923076923,53,35,32,6,4,12,4,78.62416832000538,5,12,7,14,17,21,85.83671966625714,2.9166666666666665,250.3570990265833,13.908727723699073,0.02861224
1.9580552571493157,54,33,34,6,4,11,9,77.01856661151201,7,18,10,20,25,30,139.31568569324173,3.888888888888889,541.7832221403845,30.099067896688027,0.046438562
1.859504132231405,33,26,24,2,0,8,0,72.07186418661426,5,9,6,12,14,18,68.53238859703687,3.3333333333333335,228.44129532345625,12.691183073525346,0.022844129532345624
1.8320093014428305,77,57,53,7,4,16,15,64.24210562119563,10,45,31,62,55,93,537.6664533577933,6.888888888888889,3703.924456464799,205.77358091471103,0.17922215111926446
1.6853932584269662,53,40,38,7,0,11,0,71.10776033002935,5,17,12,24,22,36,160.5395382709427,3.5294117647058822,566.6101350739154,31.478340837439745,0.053513179
1.6853932584269662,57,43,41,8,0,11,0,69.71705022669053,7,21,15,30,28,45,216.33097149259217,5,1081.6548574629608,60.091936525720044,0.072110324
1.6620498614958448,60,40,39,13,0,12,8,75.35432549729526,6,19,12,24,25,36,167.17882283189007,3.789473684210526,633.5197496787413,35.19554164881896,0.055726274
1.6620498614958448,66,45,47,10,0,14,12,69.82242390674956,6,23,15,30,29,45,218.60914478074076,3.9130434782608696,855.4270882724638,47.52372712624799,0.072869715
1.6607801086616594,67,41,42,12,4,14,14,73.01880257584267,11,34,22,44,45,66,362.4623043577585,7.117647058823529,2579.878754546399,143.32659747479994,0.12082076811925284
1.6533480297602645,71,48,50,14,0,15,12,70.40910825584851,8,29,19,38,37,57,296.93884184085016,5.241379310344827,1556.369102062387,86.46495011457705,0.098979614
1.639344262295082,77,52,54,13,0,16,14,68.05649995843997,8,30,20,40,38,60,314.8756508066151,5.333333333333333,1679.3368043019473,93.29648912788596,0.1049585502688717
1.6393442622950818,43,32,29,3,0,10,11,67.78036990680681,6,18,13,27,24,40,183.39850002884629,4.5,825.2932501298083,45.84962500721157,0.061132833342948764
1.5938424002995915,63,37,36,11,4,16,6,77.79348271024419,7,20,12,24,27,36,171.1759500778849,4.2,718.9389903271166,39.941055018173145,0.05705865
1.556333556304563,51,34,32,14,0,10,0,75.70930947818137,9,38,26,52,47,78,433.2579304308557,6.157894736842105,2667.9567294952694,148.21981830529273,0.14441931014361856
1.5415454534289303,37,25,23,8,0,9,0,80.02690302364948,8,19,13,26,27,39,185.4406125843753,5.473684210526316,1015.0433530934226,56.39129739407903,0.061813537528125094
1.5318364387207417,44,30,28,9,0,11,0,76.17303606831086,10,25,18,36,35,54,276.9812829150282,7.2,1994.265236988203,110.79251316601128,0.092327094
1.5318364387207417,75,50,48,12,0,17,1,67.29857894797259,10,45,32,63,55,95,549.2291727848427,7,3844.604209493899,213.58912274966104,0.1830763909282809
1.5318364387207417,48,33,31,9,0,12,0,74.04273308111212,10,28,20,40,38,60,314.8756508066151,7.142857142857143,2249.1117914758224,124.95065508199013,0.1049585502688717
1.528282171821004,43,31,28,4,4,9,11,75.86420194,6,20,15,30,26,45,211.51978731634918,4.5,951.8390429235714,52.879946829087295,0.070506596
1.5143176269483798,48,37,36,3,0,9,1,62.73341617499495,7,31,21,42,38,63,330.61943334694587,4.741935483870968,1567.776022645195,87.09866792473306,0.11020647778231529
1.5104433885374806,44,30,28,10,0,9,0,77.87044857,9,23,15,30,32,45,225,5.869565217391305,1320.6521739130435,73.36956521739131,0.075
1.483297942,38,26,24,6,0,9,0,78.24196987,8,16,10,20,24,30,137.5488750216347,5,687.7443751081735,38.20802083934297,0.045849625
1.480186869940386,52,32,30,14,0,13,9,78.11509737077182,9,23,16,33,32,49,245,6.456521739130435,1581.8478260869565,87.88043478260869,0.081666667
