fitness_score,loc,lloc,sloc,comment,multi,blank,avg_cyclomatic_complexity,maintainability_index,halstead_h1,halstead_h2,halstead_N1,halstead_N2,halstead_vocabulary,halstead_length,halstead_volume,halstead_difficulty,halstead_effort,halstead_time,halstead_bugs
1.3126487205214081,37,29,31,1,0,6,4,68.03666948,2,6,3,6,8,9,27,1,27,1.5,0.009
1.2190717369184731,40,32,32,0,0,8,9,51.457109245279845,5,13,9,18,18,27,112.58797503894243,3.4615384615384617,389.7276059040315,21.651533661335083,0.037529325
1.3646357649940557,52,37,38,2,4,10,7,72.87855951573236,4,8,8,14,12,22,78.86917501586544,3.5,276.0421126,15.33567291975161,0.026289725005288478
1.4550517921625103,47,31,32,2,7,8,5,80.6952462,4,7,5,10,11,15,51.89147427955947,2.857142857142857,148.26135508445563,8.236741949136423,0.017297158
1.2007738683517495,52,33,34,0,7,11,5,78.47704399172926,3,7,4,8,10,12,39.863137138648355,1.7142857142857142,68.33680652339717,3.796489251299843,0.013287712379549451
1.3472389147412946,54,35,38,2,4,10,7,71.25558901516112,6,14,13,24,20,37,159.91133951083242,5.142857142857143,822.4011746271382,45.688954145952124,0.05330378
1.0440633673061759,63,35,38,3,6,16,11,73.83214535560887,6,16,13,25,22,38,169.4584015082173,4.6875,794.3362570697685,44.12979205943159,0.056486134
1.3527799550319448,67,40,43,2,12,12,6,78.78252376050415,3,8,6,11,11,17,58.81033751683406,2.0625,121.29632112847025,6.738684507137236,0.019603445838944685
1.2774715937165757,41,31,31,6,0,5,0,77.70560859982224,4,7,5,9,11,14,48.43204266092217,2.5714285714285716,124.53953827094274,6.918863237274596,0.016144014220307392
1.5703062879912053,49,30,31,0,6,12,5,78.87735429616612,3,7,4,8,10,12,39.863137138648355,1.7142857142857142,68.33680652339717,3.796489251299843,0.013287712379549451
1.2473205640018892,47,35,37,1,0,10,7,61.53683807004875,4,12,7,14,16,21,84,2.3333333333333335,196,10.88888888888889,0.028
1.4968526287677622,53,36,36,0,6,11,8,72.79633805419711,5,10,9,16,15,25,97.67226489021297,4,390.6890595608519,21.70494775338066,0.032557422
1.4124921770230778,52,36,37,0,4,11,7,70.30129809323672,4,9,7,13,13,20,74.00879436282185,2.888888888888889,213.80318371481866,11.87795465082326,0.024669598120940616
1.5644102358874834,41,28,27,0,6,8,5,80.17984121529763,3,7,5,9,10,14,46.50699332842308,1.9285714285714286,89.69205856,4.982892142331044,0.015502331
0.8800150701096272,37,29,31,0,0,6,5,56.79413347052246,3,5,4,7,8,11,33,2.1,69.3,3.8499999999999996,0.011
1.3126487205214081,54,32,33,0,10,11,5,81.87096361627512,2,7,4,8,9,12,38.03910001730775,1.1428571428571428,43.47325716263743,2.415180953479857,0.012679700005769252
1.429963723798681,62,39,42,2,7,13,9,72.44334243848114,6,16,12,24,22,36,160.5395382709427,4.5,722.4279222192422,40.134884567735675,0.053513179
1.0440633673061759,48,32,31,5,6,11,13,76.18083743,5,24,16,34,29,50,242.89904975637864,3.5416666666666665,860.2674678871743,47.79263710484302,0.08096635
1.3527799550319448,57,39,40,0,7,10,8,73.60228622751019,3,10,6,12,13,18,66.60791492653966,1.8,119.8942468677714,6.660791492653967,0.022202638308846556
1.429963723798681,61,36,39,1,10,11,9,76.48407388986405,6,13,9,18,19,27,114.6940428629768,4.153846153846154,476.42140881544213,26.46785604530234,0.038231348
1.2982017926290197,57,35,36,1,11,10,5,81.65932300237455,2,7,4,8,9,12,38.03910001730775,1.1428571428571428,43.47325716263743,2.415180953479857,0.012679700005769252
1.4030189432939884,41,33,35,0,0,6,9,51.85639775208293,5,10,8,16,15,24,93.76537429460444,4,375.06149717841777,20.836749843245432,0.031255125
1.2573930450024826,58,39,42,1,6,10,6,74.12193404081665,3,9,5,10,12,15,53.77443751081735,1.6666666666666667,89.62406251802892,4.9791145843349405,0.017924812503605784
1.3126487205214081,59,48,49,3,0,10,13,59.99671337709119,7,17,14,27,24,41,187.98346252956745,5.5588235294117645,1044.9668946496543,58.05371636942524,0.062661154
1.0140323324148501,59,41,40,0,7,12,8,70.90675278422621,7,13,11,21,20,32,138.3016990363956,5.653846153846154,781.9365291673137,43.44091828707298,0.046100566
1.8253215861365861,70,48,50,16,0,16,11,72.64897854111491,8,18,15,28,26,43,202.11890788006698,6.222222222222222,1257.628760142639,69.86826445236883,0.067372969
1.741194311487682,64,42,43,10,5,13,9,76.61940664118141,5,11,9,17,16,26,104,3.8636363636363638,401.8181818181818,22.32323232323232,0.034666666666666665
1.650871428019163,44,36,37,4,0,7,5,70.39134623572906,6,9,7,14,15,21,82.04470251,4.666666666666667,382.8752783696349,21.27084879831305,0.027348234
